group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,gene_symbol
6,ENSG00000166927,30.372303,8.069624,1.2755560850361331e-202,1.0909831195314046e-198,0.912280701754386,0.0524636201174368,MS4A7
6,ENSG00000010327,29.213196,7.295117,1.3183918988759486e-187,7.51747060739066e-184,0.8897243107769424,0.1109267296400306,STAB1
6,ENSG00000130066,28.690588,4.1837,4.999835485121637e-181,2.1381796452122684e-177,0.974937343358396,0.5828440132754659,SAT1
6,ENSG00000110077,26.645931,7.3164005,1.994896102939635e-156,6.82493854737708e-153,0.8045112781954887,0.0454429410262956,MS4A6A
6,ENSG00000182578,26.061201,7.020696,1.004361064017076e-149,2.863433393512684e-146,0.7869674185463659,0.0463364820015317,CSF1R
6,ENSG00000018280,25.275896,7.3254313,5.88150851545427e-141,1.4372726380765818e-137,0.7644110275689223,0.0451876436047995,SLC11A1
6,ENSG00000038945,23.84957,6.9973583,1.0231085581953635e-125,2.1876618745612363e-122,0.7218045112781954,0.0379116670921623,MSR1
6,ENSG00000164733,23.676224,4.7050223,6.339104620707027e-124,1.2048524849090492e-120,0.7694235588972431,0.2126627521062037,CTSB
6,ENSG00000178573,23.46522,4.163703,9.244241509524563e-122,1.581319952619272e-118,0.7944862155388471,0.2734235384222619,MAF
6,ENSG00000100979,23.227398,5.600018,2.4076739790639481e-119,3.74415191689708e-116,0.731829573934837,0.1239468981363288,PLTP
6,ENSG00000137491,23.099493,6.6202726,4.6846122305772715e-118,6.677914734687902e-115,0.7017543859649122,0.0426346693898391,SLCO2B1
6,ENSG00000004799,22.579443,3.6195576,6.901188448318321e-113,9.080902276687173e-110,0.8295739348370927,0.4100076589226449,PDK4
6,ENSG00000180353,22.506805,5.4532733,3.5601481127763193e-112,4.349992401225123e-109,0.7042606516290727,0.0830993106969619,HCLS1
6,ENSG00000184060,22.279348,6.409271,5.860429583867908e-110,6.683233897442962e-107,0.6791979949874687,0.0423793719683431,ADAP2
6,ENSG00000105609,22.166904,6.569113,7.167337585659408e-109,7.662779796268114e-106,0.6766917293233082,0.047995915241256,LILRB5
6,ENSG00000122862,22.11736,5.407267,2.1515692940173934e-108,2.16498496138009e-105,0.6992481203007519,0.0889711513913709,SRGN
6,ENSG00000104870,21.720205,4.5145626,1.3218685865644828e-104,1.2562157800984465e-101,0.7117794486215538,0.1867500638243553,FCGRT
6,ENSG00000019582,21.70101,4.472621,2.0070814908990326e-104,1.807007157016781e-101,0.7418546365914787,0.2449578759254531,CD74
6,ENSG00000146192,21.102007,6.3039055,7.62319494350339e-99,6.52011863517845e-96,0.6441102756892231,0.0400816951748787,FGD2
7,ENSG00000048540,28.42006,4.2813525,1.142897706071261e-177,1.9550408160054996e-173,0.8656126482213439,0.2257020836029507,LMO3
7,ENSG00000179915,28.22157,3.797201,3.179747817851217e-175,2.719638308608146e-171,0.9150197628458498,0.2975281480522842,NRXN1
7,ENSG00000169855,26.469393,3.2169983,2.182573034459998e-154,1.2445031442490912e-150,0.8913043478260869,0.3908373236702472,ROBO1
7,ENSG00000196776,26.426243,2.8102124,6.84390100917295e-154,2.9267942665728124e-150,0.9011857707509882,0.5212889866701178,CD47
7,ENSG00000078699,25.874743,2.8718677,1.2818628616749173e-147,4.3855092223622276e-144,0.8992094861660079,0.5624433803546007,CBFA2T2
7,ENSG00000154277,25.510302,2.877237,1.5151239222330206e-143,4.3196183022863405e-140,0.9624505928853756,0.5277598032871749,UCHL1
7,ENSG00000153721,25.141712,3.2148147,1.741244262751396e-139,4.255103479803626e-136,0.8794466403162056,0.3556360812734567,CNKSR3
7,ENSG00000105426,24.822575,2.4043627,5.115669124356076e-136,1.093857950515438e-132,0.9090909090909092,0.5693024459686813,PTPRS
7,ENSG00000144485,23.46236,3.3629446,9.886688643818232e-122,1.8791299549017185e-118,0.7786561264822134,0.2640093179759286,HES6
7,ENSG00000139352,22.502903,3.2780938,3.887639539100211e-112,6.650196195584821e-109,0.7905138339920948,0.2729390449074673,ASCL1
7,ENSG00000016082,21.918852,4.4920115,1.717357748391416e-106,2.6706474221803243e-103,0.6383399209486166,0.0958975022647858,ISL1
7,ENSG00000155511,21.445812,4.233722,4.996640004543947e-102,7.122710326477396e-99,0.6304347826086957,0.0962857512618092,GRIA1
7,ENSG00000124766,21.130083,2.622522,4.208098058368245e-99,5.537209645111323e-96,0.8122529644268774,0.4278503947198136,SOX4
7,ENSG00000067057,20.920607,2.4710987,3.4766307428815925e-97,4.247946106266608e-94,0.7984189723320159,0.406237867218843,PFKP
7,ENSG00000173404,20.665192,2.7777364,7.127481358708102e-95,8.128179741470719e-92,0.7747035573122529,0.3265174064966998,INSM1
7,ENSG00000130147,20.35924,2.5487757,3.84501024952081e-92,4.110796583018936e-89,0.7569169960474308,0.3417885337129546,SH3BP4
7,ENSG00000072832,19.543268,2.7719023,4.706946873936375e-85,4.7362960720915066e-82,0.6837944664031621,0.2431732884690048,CRMP1
7,ENSG00000171316,19.5218,2.3689086,7.166908786478053e-85,6.810952316749643e-82,0.7529644268774703,0.3590009059143264,CHD7
7,ENSG00000137942,19.502474,2.1911726,1.0459894042336574e-84,9.417207762537337e-82,0.766798418972332,0.4279798110521547,FNBP1L
7,ENSG00000183049,19.242752,2.67995,1.6235393577944224e-82,1.3886132127215695e-79,0.6936758893280632,0.2653034812993399,CAMK1D
8,ENSG00000137804,37.132214,5.639361,8.490978574224908e-302,1.4524667949069128e-297,0.927899686520376,0.1427254772876892,NUSAP1
8,ENSG00000122966,32.875946,5.413902,4.8512626722859413e-237,3.346031044539905e-233,0.8244514106583072,0.0828176431863067,CIT
8,ENSG00000013810,32.870163,4.9031763,5.868170895369877e-237,3.346031044539905e-233,0.8448275862068966,0.123633969716919,TACC3
8,ENSG00000122952,32.413925,4.718048,1.747015177454978e-230,7.471110406386214e-227,0.841692789968652,0.1254772876892692,ZWINT
8,ENSG00000131747,30.20291,5.585775,2.169127617108956e-200,7.42101940365316e-197,0.7554858934169278,0.0633311389071757,TOP2A
8,ENSG00000146918,29.532389,4.0928183,1.1055401910008335e-191,3.151895084543377e-188,0.7915360501567398,0.1774851876234364,NCAPG2
8,ENSG00000123485,29.2273,5.552675,8.726802195476602e-188,2.1325811193688965e-184,0.7288401253918495,0.0574061882817643,HJURP
