Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Protein Modification Process (GO:0036211),110/711,0.00016304288837437543,0.0165317905421459,0,0,1.496530520809751,13.051986856062854,EPHB6;PRAG1;TESK2;LOXL1;LOXL2;PPP1CB;GOLGA2;AKT3;MACROD1;PDK3;PIM3;MACROD2;MAP3K9;MAP3K6;EPHB3;TGM2;EPHA4;EPHA7;CDKL5;COG7;DAPK1;EPHA8;DAPK2;FBXO2;DAPK3;LMTK3;CSNK1E;PASK;PHKA2;PRKAR1B;LOX;ERG;PPEF1;TRIB1;BRSK2;MEAF6;RPN2;EPHA10;PDGFB;STK39;WNK4;PRKCZ;EVPL;TTBK1;PPP3R2;IRAK1;GRK6;IP6K3;MARK2;MARK1;CDK19;NEK6;PMM2;TNK1;ABCA7;BMX;DCLK1;CLK3;PTPRD;MEX3B;WNK2;CPE;BMPR1B;CDK14;FGFR1;PTPRT;MAST2;LRRK1;MAST1;PRKAG2;PTPRJ;ING4;GMPPB;ING5;PPP3CA;SERP1;DSP;PARP1;SYK;WIPI2;CTTNBP2NL;PPM1B;INCENP;PICK1;FAM20C;SGK2;CAMK2B;PRKAA2;PPM1H;TPTE;ACVR1B;PPM1E;CAMKK2;ERBB2;PTK2B;CSK;FYN;FNIP2;MAP4K4;PAK4;PTPN18;LIMK1;PPP2R3B;GNMT;HIPK2;COL3A1;ADM2;STK17B;PKN1;PTPN3
GO_Biological_Process_2023,Regulation Of Small GTPase Mediated Signal Transduction (GO:0051056),27/118,0.00017689668907453908,0.0175288537355679,0,0,2.403093016822994,20.762590710243916,ARHGAP8;ARHGEF25;ARHGAP39;ARHGEF10L;ARHGAP6;ARHGAP4;MCF2L;PLEKHG4B;CGNL1;TGM2;ARHGEF17;ARHGAP29;ARHGAP28;ARHGAP26;GMIP;RHOD;MYO9A;VAV1;ARHGAP45;CD2AP;TIAM1;OBSCN;SPATA13;ARHGEF4;ARHGEF1;RHOU;ARHGEF5
GO_Biological_Process_2023,Regulation Of Postsynapse Organization (GO:0099175),10/25,0.0001825871659025148,0.0176906676296658,0,0,5.380865879503482,46.32001561709973,EPHA4;CDKL5;HOMER1;WNT5A;IL1RAPL1;KIF1A;SRCIN1;SHANK3;TANC2;PPFIA2
GO_Biological_Process_2023,Regulation Of Dendritic Spine Morphogenesis (GO:0061001),11/30,0.00021769915053908637,0.020634093398922,0,0,4.673928118797676,39.41241507145788,CAMK2B;EFNA1;EPHA4;CUX2;CAPRIN1;KIF1A;SRCIN1;SHANK3;TANC2;DBN1;PPFIA2
GO_Biological_Process_2023,Positive Regulation Of Developmental Growth (GO:0048639),15/50,0.00022437173400672984,0.0208140587291349,0,0,3.4630990311463683,29.097672686753103,SYT4;CDKL5;UNC13A;LIMK1;NEDD4L;L1CAM;DLL1;SYT17;GHR;RNF157;AGR2;MAPT;PPIB;ZP3;AGRN
GO_Biological_Process_2023,Notch Signaling Pathway (GO:0007219),13/40,0.00024122285689833,0.0217262642610905,0,0,3.8888552035436974,32.3933445972745,JAG2;GALNT11;NOTCH1;JAG1;DTX1;DTX2;NRARP;ASCL1;DLL1;NLE1;TRAF7;GMDS;HES1
GO_Biological_Process_2023,Regulation Of Cytoskeleton Organization (GO:0051493),26/114,0.00024417131853060527,0.0217262642610905,0,0,2.3922897779256425,19.898206234374022,PATJ;PRKAA2;LRP1;FRMPD2;STMN3;NEDD9;IQGAP2;BICD1;MLST8;RAC3;TPPP;MPDZ;MARK2;PLXNA3;DAPK3;BAIAP2;CAMSAP3;TJP1;MAP6D1;TRIM36;PLXNB1;MAPT;PHLDB2;ARHGEF5;RAPGEF3;SMIM22
GO_Biological_Process_2023,Regulation Of Anatomical Structure Morphogenesis (GO:0022603),28/127,0.00026327250738557577,0.0229573626440222,0,0,2.2907277907277908,18.880913574278377,BRSK2;CHRNA3;NEDD4L;DLL1;CAMSAP1;LFNG;ERBB2;DAG1;KIF1A;MARK2;EPHB3;PPFIA2;SH3D19;CHRNB2;TBX1;EPHA4;EMP2;WTIP;SRCIN1;TANC2;CLDN4;CEACAM1;CLDN3;NSMF;MAPT;PHLDB2;SHANK3;RAPGEF3
GO_Biological_Process_2023,Regulated Exocytosis (GO:0045055),15/51,0.00028569123273884244,0.0243344717065201,0,0,3.3667121832802307,27.47438786118912,SNAP25;ABCC4;TPH1;SYT13;SYNGR3;CPLX2;CPLX1;CPLX3;SYT17;SYT6;PCLO;SYNGR2;RAB26;STEAP2;STX1A
GO_Biological_Process_2023,Neuron Differentiation (GO:0030182),35/173,0.00029022764420620303,0.0243344717065201,0,0,2.05624679621604,16.747811360635453,FOXA1;TENM1;BRSK2;ATP8A2;RTN1;WNT2B;ASCL1;NRBP2;OPHN1;ERBB2;SPOCK1;SOX4;WNT3;FZD1;XBP1;WNT5B;DTNB;IRX3;WNT7B;SPINK5;WNT5A;IRX4;FZD8;THOC2;WNT9A;RUNX1;MANF;PTPRD;UGDH;SNPH;HAND2;NOVA2;IL1RAPL1;ANOS1;INSM1
GO_Biological_Process_2023,Regulation Of Dendrite Morphogenesis (GO:0048814),11/31,0.00030392841270724454,0.0250024128189355,0,0,4.439981826442526,35.95816237496837,CHRNB2;PTPRD;CHRNA3;CUX2;CDKL5;CUX1;CAPRIN1;IL1RAPL1;NEDD4L;NSMF;YWHAH
GO_Biological_Process_2023,Rho Protein Signal Transduction (GO:0007266),15/52,0.0003609044090617668,0.0291396893242463,0,0,3.2755354352987487,25.964833422431884,LIMK1;ARHGDIG;ARHGAP29;ARHGAP6;RHOD;ADRA2A;ARHGAP4;ARHGDIA;ARHGDIB;RHOJ;GNA12;EPS8L1;ARHGEF1;RHOU;EPS8L2
GO_Biological_Process_2023,Regulation Of Mesenchymal Cell Proliferation (GO:0010464),6/11,0.0005126202229257489,0.0399111459277904,0,0,9.673436083408886,73.28571276770441,TBX1;MYC;CTNNBIP1;WNT5A;PHF14;SOX9
GO_Biological_Process_2023,Regulation Of Ventricular Cardiac Muscle Cell Action Potential (GO:0098911),6/11,0.0005126202229257489,0.0399111459277904,0,0,9.673436083408886,73.28571276770441,DSP;JUP;DSG2;CACNA1C;DSC2;TRPM4
GO_Biological_Process_2023,Ephrin Receptor Signaling Pathway (GO:0048013),13/43,0.0005340341624827742,0.040848928919735,0,0,3.499378505381234,26.36799461878136,EPHB6;EPHA4;EPHA7;EPHA10;EPHA8;EFNB2;EFNA1;EFNB1;TIAM1;FYN;EPHA1;ANKS1B;EPHB3
GO_Biological_Process_2023,Negative Regulation Of Cell Motility (GO:2000146),28/133,0.0005814004551494398,0.0437052755939923,0,0,2.159096459096459,16.08542145620599,PTPRT;TACSTD2;NEDD9;MIA3;PTPRJ;SPINT2;FOXO3;ING1;CX3CL1;ARHGAP4;CDH1;SIN3A;TP53INP1;DAG1;NKX2-1;AMH;ARPIN;EPHA4;JAG1;TPM1;MAPK15;TMEFF2;CLDN3;ADAM15;EPPK1;EPHA1;OGT;ENG
GO_Biological_Process_2023,Bundle Of His cell-Purkinje Myocyte Adhesion Involved In Cell Communication (GO:0086073),4/5,0.0006804007059567162,0.0494338250843719,0,0,32.22282608695652,234.99554958934328,DSP;JUP;DSG2;DSC2
GO_Biological_Process_2023,Kidney Morphogenesis (GO:0060993),4/5,0.0006804007059567162,0.0494338250843719,0,0,32.22282608695652,234.99554958934328,PPP3CA;WNT7B;PRKX;SOX4
GO_Biological_Process_2023,Positive Regulation Of Calcium Ion-Dependent Exocytosis (GO:0045956),5/8,0.0006916200298501576,0.0494338250843719,0,0,13.430750641896994,97.72850573712914,SCAMP5;SYT4;KCNB1;ZP3;STX1A
