Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Positive Regulation Of Biomineral Tissue Development (GO:0070169),9/43,0.0010599343760556,0.0344265073702366,0,0,4.04421360713943,27.701036365454183,NELL1;PKDCC;ADGRV1;ALOX5;ANO6;PTN;TENT5A;SLC8A1;WNT4
GO_Biological_Process_2023,Sodium Ion Transport (GO:0006814),14/89,0.001069638318753,0.0344265073702366,0,0,2.8573300573300573,19.545379694963163,SLC24A2;SLC6A17;ATP1B1;NALCN;SLC6A3;SLC8A1;SLC4A8;SCN9A;SCNN1A;SCN3B;SCN2A;SCN3A;HCN2;HCN1
GO_Biological_Process_2023,Regulation Of Axon Extension (GO:0030516),8/35,0.0010869435917439,0.0346625314211193,0,0,4.524857375713122,30.87937136171032,OLFM1;SHTN1;PTPRS;MAP2;RUFY3;TRIM46;NRCAM;L1CAM
GO_Biological_Process_2023,Calcium Ion-Regulated Exocytosis Of Neurotransmitter (GO:0048791),5/14,0.0011141646174454,0.0348904163084718,0,0,8.471544715447154,57.60354221730833,SYT5;SYT4;RIMS3;SYT1;SYT11
GO_Biological_Process_2023,Neuron Cell-Cell Adhesion (GO:0007158),5/14,0.0011141646174454,0.0348904163084718,0,0,8.471544715447154,57.60354221730833,RET;NRXN1;NRXN3;PHOX2A;CDK5R1
GO_Biological_Process_2023,Regulation Of Cell Development (GO:0060284),10/52,0.0011383584426083,0.0350171145708546,0,0,3.639067055393586,24.666207926377943,PER2;HES6;ANXA2;BHLHE40;HMGB2;PTN;ASCL1;ASCL2;HDAC9;INS
GO_Biological_Process_2023,Regulation Of Peptide Hormone Secretion (GO:0090276),10/52,0.0011383584426083,0.0350171145708546,0,0,3.639067055393586,24.666207926377943,NEUROD1;PER2;CRHBP;TFAP2B;GRP;GIPR;ALOX5;CHD7;RFX3;INS
GO_Biological_Process_2023,Negative Regulation Of Cell Population Proliferation (GO:0008285),39/379,0.0012424163467618,0.0378828001872308,0,0,1.7671035805626598,11.82315485278013,CDKN1C;APP;PTPRU;NDRG4;TES;SOX2;FLCN;SCIN;DUSP10;SMYD2;SPEG;SH3BP4;JAK2;DRD2;PPARGC1A;SOX4;E2F7;TFAP2B;IGFBP5;CDKN2A;MAGI2;GLMN;NRG1;PROX1;CBFA2T3;ST18;MTSS1;PARP10;PER2;SFRP4;NELL1;NEURL1;CDH13;INSM1;ATF5;CD200;PTPN2;TP73;HSPA1A
GO_Biological_Process_2023,Plasma Membrane Bounded Cell Projection Organization (GO:0120036),18/132,0.0012703448627594,0.0383975542865377,0,0,2.4197984690567838,16.13634592272431,CFAP61;APP;UNC5A;PLEKHA1;STMN2;FRY;L1CAM;POU4F1;GPRIN3;ATCAY;FAM161A;MAP2;GPRIN1;MAP1B;NEDD4;STMN1;TMEM108;CDK5R1
GO_Biological_Process_2023,"Regulation Of Alternative mRNA Splicing, Via Spliceosome (GO:0000381)",10/53,0.0013267092045676,0.0395025528051987,0,0,3.554247745609872,23.547082124894384,DDX17;RBM38;RBFOX1;KHDRBS2;TIA1;RBFOX2;RBM15;CELF2;CELF3;CELF5
GO_Biological_Process_2023,Regulation Of Dendritic Spine Development (GO:0060998),6/21,0.0013296313803821,0.0395025528051987,0,0,6.102522375915378,40.41611187614628,PTPRS;NEURL1;FOXO6;KIF1A;TANC2;PPFIA2
GO_Biological_Process_2023,Adrenal Gland Development (GO:0030325),4/9,0.0014182105209749,0.0409851042545939,0,0,12.191714053614946,79.95764244833518,WNT11;INSM1;STRA6;WNT4
GO_Biological_Process_2023,Calcium Ion Transport Into Cytosol (GO:0060402),4/9,0.0014182105209749,0.0409851042545939,0,0,12.191714053614946,79.95764244833518,JPH4;CACNB3;CACNA2D1;SLC8A1
GO_Biological_Process_2023,Negative Regulation Of Cell Adhesion Mediated By Integrin (GO:0033629),4/9,0.0014182105209749,0.0409851042545939,0,0,12.191714053614946,79.95764244833518,MUC1;NEXMIF;NRG1;JAM3
GO_Biological_Process_2023,Negative Regulation Of Cell Adhesion (GO:0007162),12/72,0.0014266966670902,0.0409851042545939,0,0,3.0588716271463614,20.042930658640994,MUC1;PLXND1;DSCAM;NEXMIF;RASA1;ADAM22;GCNT2;CDH13;NRG1;PLXNC1;CORO2B;JAM3
GO_Biological_Process_2023,Negative Regulation Of DNA-templated Transcription (GO:0045892),87/1025,0.0015232818758374,0.043159958454277,0,0,1.4402994361195516,9.343061334320987,ZNF254;CDKN1C;KDM1B;NAB1;PRDM5;HMGB2;ZBTB20;N4BP2L2;TRO;SOX2;FLCN;SOX1;ZIC2;BASP1;ZMYM5;TRPS1;SIX3;ZNF568;LRRFIP1;SOX4;TLE2;KLF12;RBFOX2;RBM15;RFX3;TET1;NRG1;PROX1;DUSP26;CBFA2T2;ISL1;CBFA2T3;FOXP2;TLE6;SAP30;DKK3;DUSP22;ZEB2;ZEB1;ZNF439;DPEP1;ATF5;GAS6;ATF3;CALCA;TSHZ3;UHRF1;TMPRSS6;FOXG1;ASCL1;ASCL2;HDAC9;FOXO1;CIART;MUC1;WNT11;SMYD2;NKX2-1;APBB2;ZNF224;MAGEA10;ZNF345;E2F7;WNT4;RUNX1T1;SNCA;TFAP2B;CDKN2A;BCL11A;NR2F1;FOXN3;POU4F1;MEIS2;PER2;KLF7;GCLC;PER3;NR6A1;YEATS2;BHLHE40;ID4;ZNF536;INSM1;RCOR2;EZH2;HSPA1A;CDK5R1
GO_Biological_Process_2023,Negative Regulation Of Neuron Projection Development (GO:0010977),10/54,0.0015396532935357,0.043159958454277,0,0,3.4732838589981445,22.49367405738674,PTPRS;BCL11A;RUFY3;DPYSL3;PAQR3;STMN2;TNR;CRMP1;CBFA2T2;ITM2C
GO_Biological_Process_2023,Peptidyl-Tyrosine Modification (GO:0018212),10/54,0.0015396532935357,0.043159958454277,0,0,3.4732838589981445,22.49367405738674,CLK1;FER;PKDCC;RELN;SRMS;DYRK1A;FYN;JAK2;FGFR3;TTBK1
GO_Biological_Process_2023,Negative Regulation Of Synaptic Transmission (GO:0050805),5/15,0.0015867879767737,0.0441254000581242,0,0,7.623983739837398,49.14453042148416,SLC24A2;STXBP1;GRIK3;DRD2;HCN1
GO_Biological_Process_2023,Calcium Ion Transmembrane Import Into Cytosol (GO:0097553),13/83,0.0016567337588542,0.0457048138553752,0,0,2.8411854103343464,18.19184660576905,ERO1A;SLC24A2;GP1BB;CACNA2D1;GRIN2C;CACNA1E;SLC8A1;JPH4;CACNB3;SCN9A;DRD2;SCN2A;SCN3A
GO_Biological_Process_2023,Cytoskeleton-Dependent Intracellular Transport (GO:0030705),6/22,0.0017336595909058,0.0474503995117214,0,0,5.720809601301871,36.3701656569873,DYNC1I2;CCDC88A;TUBB2A;HOOK1;MAP6;KIF1A
GO_Biological_Process_2023,Cardiac Conduction (GO:0061337),9/46,0.0017533666856043,0.0476148640559428,0,0,3.715709183898417,23.580698717896222,CACNB2;CAMK2D;CACNA2D1;PKP2;ANK2;SCN3B;ISL1;HCN2;HCN1
GO_Biological_Process_2023,Peptidyl-Serine Phosphorylation (GO:0018105),20/158,0.0017792774775942,0.0479439419543989,0,0,2.221864376453748,14.067840745809546,BRSK1;SRPK3;GPI;CAMK2D;DYRK2;CAMK1D;MAST4;PRKCE;DYRK1A;TTBK1;MAPK13;MAPK8;CAMK4;ATM;CLSPN;STK32A;GAS6;PRKACB;MAP3K12;CDK5R1
