Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Hexose Metabolic Process (GO:0019318),15/45,0.0010234980027336,0.0326672328044919,0,0,3.0045662100456623,20.68502351877485,H6PD;PMM1;ADPGK;DCXR;FUCA1;PMM2;SORD;OMA1;FUOM;HECTD4;APOD;GALM;SLC37A4;FBP1;PPARD
GO_Biological_Process_2023,Mitotic Spindle Elongation (GO:0000022),6/10,0.0010672514806352,0.0333732422458112,0,0,8.998949579831933,61.57683012776453,INCENP;PRC1;KIF4A;BIRC5;CDCA8;KIF23
GO_Biological_Process_2023,Mitotic Spindle Midzone Assembly (GO:0051256),6/10,0.0010672514806352,0.0333732422458112,0,0,8.998949579831933,61.57683012776453,INCENP;PRC1;KIF4A;BIRC5;CDCA8;KIF23
GO_Biological_Process_2023,Regulation Of Mitotic Sister Chromatid Separation (GO:0010965),6/10,0.0010672514806352,0.0333732422458112,0,0,8.998949579831933,61.57683012776453,CCNB1;DUSP1;INCENP;BIRC5;CDCA8;AURKB
GO_Biological_Process_2023,Positive Regulation Of Cell Adhesion (GO:0045785),24/88,0.0010839042726286,0.0334420598248363,0,0,2.25607822410148,15.402664965408176,MAGI1;TGFB2;LAMB2;TNFRSF18;TPM1;CHRD;CIB1;PTPRJ;NDNF;NID1;RHOD;PPM1F;SMAD7;PPP3CA;SFRP2;CXCL12;ERBB2;ADAM9;ITGAV;ADAM8;PRKD2;STX4;PLPP3;TGM2
GO_Biological_Process_2023,Regulation Of Endothelial Cell Migration (GO:0010594),24/88,0.0010839042726286,0.0334420598248363,0,0,2.25607822410148,15.402664965408176,SP100;ANXA3;WNT5A;STC1;EMP2;NR2F2;THBS1;DCN;FOXP1;RHOB;CEACAM1;RRAS;ZC3H12A;ATOH8;AKT1;PTK2B;PRKD2;PRKD1;CALR;PLPP3;GLUL;RIN2;SASH1;EPHA2
GO_Biological_Process_2023,Regulation Of Epithelial Cell Migration (GO:0010632),16/50,0.0011594455850622,0.0355358554150205,0,0,2.828159232772519,19.117828486791804,DOCK5;TGFB2;TACSTD2;EMP2;MCC;PPM1F;CEACAM1;RAB25;GLIPR2;MARVELD3;CTSH;SOX9;GLUL;DOCK1;RREB1;SASH1
GO_Biological_Process_2023,Regulation Of Cytoskeleton Organization (GO:0051493),29/114,0.0011830046802317,0.0360193793428465,0,0,2.053682440148668,13.841198895934744,FRMPD2;FAM107A;ARHGAP18;PDGFA;NEDD9;NEXN;ARHGAP17;SLC4A2;CELSR1;IQGAP2;CLN3;BAIAP2L1;CAPN2;MARK2;MAPK3;PDGFRB;PRKCD;ARHGEF19;BAIAP2;MID1;SORBS3;TJP1;TAOK2;TRIM36;EZR;PHLDB2;ARHGEF5;RAPGEF3;SMIM22
GO_Biological_Process_2023,Motile Cilium Assembly (GO:0044458),8/17,0.0012621087015775,0.0379288251357214,0,0,5.334890601884295,35.61024210541713,CCDC39;SPAG17;DNAAF3;MCIDAS;DNAAF1;BBOF1;ZMYND10;CCDC40
GO_Biological_Process_2023,Regulation Of Viral Transcription (GO:0046782),8/17,0.0012621087015775,0.0379288251357214,0,0,5.334890601884295,35.61024210541713,HEXIM1;IFITM3;TRIM62;ZFP36;MDFIC;TRIM14;MID2;TRIM11
