Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Epithelial Cell-Cell Adhesion (GO:0090136),5/11,0.0014562266197004,0.0381309993565718,0,0,8.778611271398345,57.34106974452946,CAMSAP3;DSP;JUP;KIT;PLEKHA7
GO_Biological_Process_2023,Negative Regulation Of Microtubule Polymerization (GO:0031115),5/11,0.0014562266197004,0.0381309993565718,0,0,8.778611271398345,57.34106974452946,CLIP3;MAP2;STMN1;STMN2;SNCA
GO_Biological_Process_2023,Regulation Of Ventricular Cardiac Muscle Cell Action Potential (GO:0098911),5/11,0.0014562266197004,0.0381309993565718,0,0,8.778611271398345,57.34106974452946,DSP;JUP;PKP2;DSG2;CACNA1C
GO_Biological_Process_2023,Vesicle-Mediated Transport (GO:0016192),54/411,0.0014604212765108,0.0381309993565718,0,0,1.6082656340445918,10.50041511837533,SNAP25;RASEF;INPPL1;FMN2;DOC2B;FNBP1L;AP4M1;AP1G2;SCRN1;KIF5A;AP1S2;AP1S3;KIF1A;SYTL1;SCRIB;CSNK1E;SYTL4;AP3B2;LRRC7;AMPH;TSNARE1;STX1A;SPTBN4;STXBP1;STXBP2;DENND3;CPLX1;NCALD;CORO1C;NCKIPSD;CECR2;SCFD2;STX2;ATP9A;REPS1;SPAG9;SYT4;RPH3AL;RAB3IP;CADPS;RAB39A;NSG1;DCLK1;SYT7;EHD3;NSG2;CALY;HOOK2;SYT11;HOOK1;ALMS1;SPIRE2;OCIAD2;RAB17
GO_Biological_Process_2023,Sodium Ion Transport (GO:0006814),17/89,0.0015413726316082,0.0389624317604734,0,0,2.4955613661308025,16.158964332792806,SLC24A2;SLC6A17;SLC6A15;ATP1B1;SLC6A2;NALCN;SLC6A3;SLC8A1;SLC8A2;SCN8A;SCN9A;SCNN1A;SCN3B;FGF13;SCN2A;SCN3A;HCN1
GO_Biological_Process_2023,Regulation Of Protein Polymerization (GO:0032271),9/33,0.0015614675599968,0.0389624317604734,0,0,3.9556101792943896,25.561663870792373,CAMSAP3;TPPP3;MAP2;COTL1;MAPRE3;TPPP;MAPT;PAK3;TTBK1
GO_Biological_Process_2023,Neuron Projection Organization (GO:0106027),6/16,0.0015914610787814,0.0389624317604734,0,0,6.322863741339492,40.73886086860192,DCTN1;CHRNA7;MAP1A;ATP1A3;PICK1;INS
GO_Biological_Process_2023,Nuclear Migration (GO:0007097),6/16,0.0015914610787814,0.0389624317604734,0,0,6.322863741339492,40.73886086860192,SUN2;TMEM201;DCTN1;CLMN;LMNB2;LMNB1
GO_Biological_Process_2023,Amino Acid Transport (GO:0006865),11/46,0.0015916137476645,0.0389624317604734,0,0,3.317015468607825,21.371553358632717,SLC36A1;SLC7A5;SLC38A1;SLC43A2;SLC6A17;SLC6A15;SH3BP4;SLC38A11;SLC1A5;SLC7A11;SLC36A4
GO_Biological_Process_2023,Regulation Of Protein Localization (GO:0032880),18/97,0.0016044753840162,0.0389624317604734,0,0,2.408698851928172,15.499877005123231,ABCA2;RABGAP1L;PARP1;FBXW7;CSNK1E;KCNAB2;INS;ADCYAP1;ATCAY;MAP2;MAP1A;DZIP1L;TRIM46;CEP72;TRIM58;GPC2;ATP13A2;MAPT
GO_Biological_Process_2023,Dopamine Uptake (GO:0090494),4/7,0.0016046961664203,0.0389624317604734,0,0,14.0399846212995,90.34478570084774,SLC29A4;SLC6A2;SLC6A3;SNCA
