Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Glucocorticoid Biosynthetic Process (GO:0006704),5/5,4.395416691151261e-05,0.0045341165067387,0,0,86545.0,868250.8669174311,CYP11A1;CYP11B2;CYP21A2;CYP11B1;CYP17A1
GO_Biological_Process_2023,Phosphatidylcholine Biosynthetic Process (GO:0006656),10/19,5.525929074304999e-05,0.0055763832093312,0,0,7.169795681545029,70.28890607601909,SLC27A1;SLC44A3;PCYT1A;SLC44A4;CHKA;SLC44A2;GPAT4;LPCAT3;LCAT;CHPT1
GO_Biological_Process_2023,Removal Of Superoxide Radicals (GO:0019430),7/10,6.54586063029185e-05,0.0061887945141925,0,0,15.04495777446597,144.9445160604625,NQO1;PRDX2;CCS;PRDX1;SOD2;MT3;SOD1
GO_Biological_Process_2023,Proteasome-Mediated Ubiquitin-Dependent Protein Catabolic Process (GO:0043161),68/319,6.583038510740233e-05,0.0061887945141925,0,0,1.7618340970847832,16.963694595437133,RNF10;UBE2D3;TNFAIP1;TNFSF13B;ANKRD9;PSMD7;UBXN8;MAN1A1;SEC61B;BTRC;UBXN4;FBXO9;NHLRC3;USP44;SIRT1;DDB1;PSMA3;IFI27;KCTD13;ANAPC4;RBCK1;RNF122;PRKN;ANAPC13;PSMD12;VCP;ANAPC16;KLHL15;NEDD4L;DERL2;UBR3;RNF5;HSP90B1;PSMB6;DNAJB2;PSMB7;SH3BGRL;SHARPIN;PSMB3;PCBP2;ZSWIM8;UBQLN1;DCAF11;DCAF12;UBQLN2;RHBDD2;SMURF1;EDEM1;SIAH2;AMFR;FBXL19;PEX10;UBE2G1;WWP2;FBXL15;ERLIN2;FBXL13;KLHL20;SPSB3;FBXL8;SPSB2;NSFL1C;UBE2W;MDM2;CTNNB1;STUB1;STT3B;FBXL7
GO_Biological_Process_2023,Intracellular Cholesterol Transport (GO:0032367),9/16,6.666086292753738e-05,0.0061887945141925,0,0,8.294343240651965,79.75751329166025,STARD4;NPC1;NPC2;VPS4A;RELCH;SERAC1;LDLRAP1;LDLR;LRP6
GO_Biological_Process_2023,Regulation Of Triglyceride Biosynthetic Process (GO:0010866),9/16,6.666086292753738e-05,0.0061887945141925,0,0,8.294343240651965,79.75751329166025,CTDNEP1;SCARB1;SREBF1;SLC27A1;NR1H2;CNEP1R1;NR1H3;SIRT1;LDLR
GO_Biological_Process_2023,Fatty Acid Biosynthetic Process (GO:0006633),21/65,7.44099716379555e-05,0.0067727664381056,0,0,3.086184882533197,29.33702844322656,ELOVL1;ABCD3;GPX4;ELOVL5;OXSM;TECR;SCD5;ELOVL6;ACACB;HSD17B8;ACSF3;FADS3;ACLY;CYP2C8;SCD;FASN;NDUFAB1;MLYCD;CYP2E1;LCP1;FADS1
GO_Biological_Process_2023,Defense Response To Virus (GO:0051607),45/189,7.790212751224832e-05,0.0069542629983049,0,0,2.027234504913076,19.177754566166268,IFITM3;IFIT5;IFI6;NLRC5;DDX60L;IFIT1;DDX60;PHB2;TANK;IFI44L;IFIT3;IFIT2;IFIH1;TRIM8;RNF135;TRIM6;TBK1;IFI16;TRIM5;DHX58;FADD;GBP2;MICA;APOBEC3C;BNIP3L;TRIM41;RSAD2;APOBEC3G;MLKL;STAT1;USP44;STAT2;MX1;ISG15;MID2;BST2;UBE2W;IFI27;IRF3;OAS1;DDIT4;IRF2;SERINC5;TLR3;TRIM56
GO_Biological_Process_2023,Regulation Of Mitochondrial Membrane Potential (GO:0051881),15/39,8.527789592803294e-05,0.0074690564697722,0,0,4.037042227204784,37.8254517582809,VCP;PID1;LRRK2;MTLN;SOD1;PRDX3;SPART;PINK1;UBB;ABL1;ARL6IP5;BAK1;BCO2;STOX1;RNF122
GO_Biological_Process_2023,Positive Regulation Of Apoptotic Signaling Pathway (GO:2001235),20/62,0.00011222110270946972,0.0095089050567308,0,0,3.0783904726248417,27.998082949167564,BCAP31;TNFRSF12A;CRADD;TNFSF12;G0S2;BCL10;SEPTIN4;TPD52L1;STYXL1;TRAF7;SLC9A3R1;CYLD;GPER1;TNFSF10;CTSH;FAS;NUPR1;TLR6;FADD;TP53
