names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,gene_symbol,comparison,state_A,state_B
ENSG00000106723,4.2807045,0.31667194,1.8630254782270483e-05,5.457940371733497e-05,0.5706666666666667,SPIN1,AR_high_vs_Neuroendocrine,Prostate epithelial - AR high,Neuroendocrine-like
ENSG00000168421,4.280175,3.725164,1.8674621799147447e-05,5.470001378359867e-05,0.0951111111111111,RHOH,AR_high_vs_Neuroendocrine,Prostate epithelial - AR high,Neuroendocrine-like
ENSG00000156502,4.279079,0.27692315,1.876684527748405e-05,5.4960735373504904e-05,0.184,SUPV3L1,AR_high_vs_Neuroendocrine,Prostate epithelial - AR high,Neuroendocrine-like
ENSG00000024422,4.278039,1.6634586,1.8854699194075914e-05,5.5208573162249674e-05,0.11466666666666667,EHD2,AR_high_vs_Neuroendocrine,Prostate epithelial - AR high,Neuroendocrine-like
ENSG00000100100,4.277661,0.050904814,1.8886743090931583e-05,5.529293638772474e-05,0.3111111111111111,PIK3IP1,AR_high_vs_Neuroendocrine,Prostate epithelial - AR high,Neuroendocrine-like
ENSG00000128590,4.2767344,0.12278904,1.8965470009116776e-05,5.550913076092667e-05,0.312,DNAJB9,AR_high_vs_Neuroendocrine,Prostate epithelial - AR high,Neuroendocrine-like
ENSG00000176393,4.2767158,0.06763791,1.8967079930879013e-05,5.550913076092667e-05,0.27644444444444444,RNPEP,AR_high_vs_Neuroendocrine,Prostate epithelial - AR high,Neuroendocrine-like
ENSG00000166762,4.2763567,0.0758637,1.8997693187527067e-05,5.5589213080027024e-05,0.26666666666666666,CATSPER2,AR_high_vs_Neuroendocrine,Prostate epithelial - AR high,Neuroendocrine-like
ENSG00000104549,4.275865,1.0463791,1.903966128465948e-05,5.57024877604558e-05,0.13866666666666666,SQLE,AR_high_vs_Neuroendocrine,Prostate epithelial - AR high,Neuroendocrine-like
ENSG00000178947,4.273672,1.3922501,1.922798178810509e-05,5.6234203533480194e-05,0.11733333333333333,SMIM10L2A,AR_high_vs_Neuroendocrine,Prostate epithelial - AR high,Neuroendocrine-like
ENSG00000147687,4.270307,0.78930265,1.9520409949548726e-05,5.70601730343439e-05,0.1368888888888889,TATDN1,AR_high_vs_Neuroendocrine,Prostate epithelial - AR high,Neuroendocrine-like
ENSG00000013523,4.2696075,0.066362046,1.9581724998983666e-05,5.722962375407733e-05,0.3448888888888889,ANGEL1,AR_high_vs_Neuroendocrine,Prostate epithelial - AR high,Neuroendocrine-like
