names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,gene_symbol,comparison,state_A,state_B
ENSG00000157851,0.49556208,-0.6456652,0.620203416419113,0.8009361045798994,0.21029572836801752,DPYSL5,Luminal_vs_Neuroendocrine,Prostate epithelial - luminal,Neuroendocrine-like
ENSG00000169019,0.4941094,-0.59076947,0.6212289301402151,0.8021393477489823,0.03943044906900329,COMMD8,Luminal_vs_Neuroendocrine,Prostate epithelial - luminal,Neuroendocrine-like
ENSG00000286140,0.4925266,0.52729297,0.6223471190874641,0.8035014397654652,0.017524644030668127,DERPC,Luminal_vs_Neuroendocrine,Prostate epithelial - luminal,Neuroendocrine-like
ENSG00000169139,0.49248323,0.06264619,0.6223777666837609,0.8035014397654652,0.023001095290251915,UBE2V2,Luminal_vs_Neuroendocrine,Prostate epithelial - luminal,Neuroendocrine-like
ENSG00000125285,0.49196288,0.7676378,0.6227455888790911,0.80391563228177,0.017524644030668127,SOX21,Luminal_vs_Neuroendocrine,Prostate epithelial - luminal,Neuroendocrine-like
ENSG00000162989,0.49159428,-0.6056087,0.6230061865842773,0.8041913543397712,0.03943044906900329,KCNJ3,Luminal_vs_Neuroendocrine,Prostate epithelial - luminal,Neuroendocrine-like
ENSG00000213906,0.49113896,0.29731143,0.6233281665923016,0.8045462625615266,0.017524644030668127,LTB4R2,Luminal_vs_Neuroendocrine,Prostate epithelial - luminal,Neuroendocrine-like
ENSG00000198821,0.49105224,3.3200362,0.6233895042837043,0.8045647246323409,0.012048192771084338,CD247,Luminal_vs_Neuroendocrine,Prostate epithelial - luminal,Neuroendocrine-like
ENSG00000151062,0.49096552,2.5789065,0.6234508445874021,0.8045831872887288,0.012048192771084338,CACNA2D4,Luminal_vs_Neuroendocrine,Prostate epithelial - luminal,Neuroendocrine-like
ENSG00000265763,0.49033672,-0.7536335,0.6238956398808568,0.8049736822812062,0.07667031763417305,ZNF488,Luminal_vs_Neuroendocrine,Prostate epithelial - luminal,Neuroendocrine-like
