names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,gene_symbol,comparison,state_A,state_B
ENSG00000006704,0.9494655,0.4175164,0.3423839065875538,0.5311825780960181,0.3045822102425876,GTF2IRD1,Neuroendocrine_vs_Steroidogenic,Neuroendocrine-like,Steroidogenic-like
ENSG00000166268,0.9466742,1.8113121,0.3438048016341889,0.5332419019634088,0.035489667565139264,MYRFL,Neuroendocrine_vs_Steroidogenic,Neuroendocrine-like,Steroidogenic-like
ENSG00000198862,0.9457124,0.43931735,0.3442953054245683,0.5339542606158355,0.31761006289308175,LTN1,Neuroendocrine_vs_Steroidogenic,Neuroendocrine-like,Steroidogenic-like
ENSG00000146410,0.94503343,2.674993,0.3446418121546121,0.5343947460765767,0.02605570530098832,MTFR2,Neuroendocrine_vs_Steroidogenic,Neuroendocrine-like,Steroidogenic-like
ENSG00000183684,0.9445808,1.1734015,0.3448729401996221,0.5346376134484423,0.08984725965858041,ALYREF,Neuroendocrine_vs_Steroidogenic,Neuroendocrine-like,Steroidogenic-like
ENSG00000062282,0.94454306,3.2582464,0.34489220533167075,0.5346376134484423,0.025157232704402517,DGAT2,Neuroendocrine_vs_Steroidogenic,Neuroendocrine-like,Steroidogenic-like
ENSG00000140044,0.94371325,0.83623886,0.3453162118884088,0.5351494039285306,0.10062893081761007,JDP2,Neuroendocrine_vs_Steroidogenic,Neuroendocrine-like,Steroidogenic-like
ENSG00000073050,0.94337374,0.7009235,0.3454897648603753,0.5353698630040384,0.16262353998203055,XRCC1,Neuroendocrine_vs_Steroidogenic,Neuroendocrine-like,Steroidogenic-like
ENSG00000119782,0.9431474,1.6052057,0.3456054977252494,0.5355006923992859,0.038185085354896675,FKBP1B,Neuroendocrine_vs_Steroidogenic,Neuroendocrine-like,Steroidogenic-like
ENSG00000218891,0.9416952,0.9633749,0.3463487047979992,0.5365550574420008,0.09523809523809523,ZNF579,Neuroendocrine_vs_Steroidogenic,Neuroendocrine-like,Steroidogenic-like
ENSG00000132554,0.94009215,3.5714946,0.3471703092386512,0.5376331078975528,0.022461814914645103,RGS22,Neuroendocrine_vs_Steroidogenic,Neuroendocrine-like,Steroidogenic-like
ENSG00000117600,0.93975264,5.3231444,0.3473444550565542,0.5378054171069349,0.0215633423180593,PLPPR4,Neuroendocrine_vs_Steroidogenic,Neuroendocrine-like,Steroidogenic-like
ENSG00000181291,0.93975264,4.9365954,0.3473444550565542,0.5378054171069349,0.0215633423180593,TMEM132E,Neuroendocrine_vs_Steroidogenic,Neuroendocrine-like,Steroidogenic-like
ENSG00000139734,0.93945086,4.6873426,0.34749929798713763,0.537985273202064,0.0215633423180593,DIAPH3,Neuroendocrine_vs_Steroidogenic,Neuroendocrine-like,Steroidogenic-like
ENSG00000061337,0.9393,3.3056693,0.3475767359158891,0.537985273202064,0.022461814914645103,LZTS1,Neuroendocrine_vs_Steroidogenic,Neuroendocrine-like,Steroidogenic-like
ENSG00000168348,0.9393,4.5626516,0.3475767359158891,0.537985273202064,0.0215633423180593,INSM2,Neuroendocrine_vs_Steroidogenic,Neuroendocrine-like,Steroidogenic-like
ENSG00000169379,0.93928117,0.99934244,0.34758641642869237,0.537985273202064,0.08086253369272237,ARL13B,Neuroendocrine_vs_Steroidogenic,Neuroendocrine-like,Steroidogenic-like
ENSG00000261667,0.93688595,25.301332,0.34881723528279196,0.5396461632221615,0.019766397124887692,LY6L,Neuroendocrine_vs_Steroidogenic,Neuroendocrine-like,Steroidogenic-like
ENSG00000100739,0.93688595,24.648067,0.34881723528279196,0.5396461632221615,0.019766397124887692,BDKRB1,Neuroendocrine_vs_Steroidogenic,Neuroendocrine-like,Steroidogenic-like
ENSG00000234602,0.93688595,24.83255,0.34881723528279196,0.5396461632221615,0.019766397124887692,MCIDAS,Neuroendocrine_vs_Steroidogenic,Neuroendocrine-like,Steroidogenic-like
ENSG00000104218,0.9340381,0.67312175,0.3502842480441489,0.5417197673847944,0.20395327942497754,CSPP1,Neuroendocrine_vs_Steroidogenic,Neuroendocrine-like,Steroidogenic-like
ENSG00000019549,0.93345344,2.0917404,0.35058590633891906,0.5420392727615283,0.03099730458221024,SNAI2,Neuroendocrine_vs_Steroidogenic,Neuroendocrine-like,Steroidogenic-like
ENSG00000177508,0.9320389,2.2313757,0.35131640591665014,0.5430214547402383,0.03009883198562444,IRX3,Neuroendocrine_vs_Steroidogenic,Neuroendocrine-like,Steroidogenic-like
ENSG00000151468,0.9313223,2.1206625,0.3516868935481705,0.5434769353313776,0.03009883198562444,CCDC3,Neuroendocrine_vs_Steroidogenic,Neuroendocrine-like,Steroidogenic-like
ENSG00000103404,0.9303793,0.73874104,0.3521747541452044,0.5441515079403727,0.12443845462713388,USP31,Neuroendocrine_vs_Steroidogenic,Neuroendocrine-like,Steroidogenic-like
ENSG00000164619,0.9290591,1.9660304,0.35285847835998807,0.5450602429859089,0.03009883198562444,BMPER,Neuroendocrine_vs_Steroidogenic,Neuroendocrine-like,Steroidogenic-like
ENSG00000089094,0.9285687,0.5629583,0.35311264679807786,0.5454036059709182,0.18957771787960467,KDM2B,Neuroendocrine_vs_Steroidogenic,Neuroendocrine-like,Steroidogenic-like
ENSG00000070814,0.92734283,0.6933492,0.3537485743125114,0.5462832172410012,0.15588499550763701,TCOF1,Neuroendocrine_vs_Steroidogenic,Neuroendocrine-like,Steroidogenic-like
ENSG00000163507,0.9272862,1.2579155,0.3537779422773185,0.5462832172410012,0.05480682839173405,CIP2A,Neuroendocrine_vs_Steroidogenic,Neuroendocrine-like,Steroidogenic-like
ENSG00000143502,0.9265884,0.6696207,0.354140273864631,0.5467933500070744,0.11680143755615453,SUSD4,Neuroendocrine_vs_Steroidogenic,Neuroendocrine-like,Steroidogenic-like
ENSG00000135476,0.9262678,2.1690776,0.35430682911641553,0.5470011388867694,0.02830188679245283,ESPL1,Neuroendocrine_vs_Steroidogenic,Neuroendocrine-like,Steroidogenic-like
ENSG00000102890,0.9259849,1.1874183,0.3544538307157423,0.5471787048302038,0.059748427672955975,ELMO3,Neuroendocrine_vs_Steroidogenic,Neuroendocrine-like,Steroidogenic-like
ENSG00000110042,0.9257586,2.7047641,0.3545714597250821,0.5472615167425114,0.026504941599281222,DTX4,Neuroendocrine_vs_Steroidogenic,Neuroendocrine-like,Steroidogenic-like
ENSG00000123552,0.92477787,0.74959695,0.3550814702407098,0.5478661027657976,0.1747529200359389,USP45,Neuroendocrine_vs_Steroidogenic,Neuroendocrine-like,Steroidogenic-like
ENSG00000145864,0.9237783,3.1548858,0.3556017648460268,0.5486042378658129,0.024707996406109614,GABRB2,Neuroendocrine_vs_Steroidogenic,Neuroendocrine-like,Steroidogenic-like
ENSG00000106144,0.9235331,0.72304064,0.3557294576877241,0.5487517452616295,0.16621743036837378,CASP2,Neuroendocrine_vs_Steroidogenic,Neuroendocrine-like,Steroidogenic-like
ENSG00000116641,0.9233822,0.56341934,0.35580805227096535,0.5488234934307604,0.24393530997304583,DOCK7,Neuroendocrine_vs_Steroidogenic,Neuroendocrine-like,Steroidogenic-like
ENSG00000180785,0.92219406,2.639732,0.35642736726188684,0.5497059258732118,0.024707996406109614,OR51E1,Neuroendocrine_vs_Steroidogenic,Neuroendocrine-like,Steroidogenic-like
ENSG00000214652,0.92209977,2.1399262,0.35647654832874653,0.5497059258732118,0.034141958670260555,ZNF727,Neuroendocrine_vs_Steroidogenic,Neuroendocrine-like,Steroidogenic-like
ENSG00000197601,0.92081726,0.4054341,0.35714583539753064,0.5505394845733225,0.33243486073674755,FAR1,Neuroendocrine_vs_Steroidogenic,Neuroendocrine-like,Steroidogenic-like
ENSG00000145365,0.9198177,1.155033,0.35766803403066594,0.5511457877784499,0.057951482479784364,TIFA,Neuroendocrine_vs_Steroidogenic,Neuroendocrine-like,Steroidogenic-like
