sample,Activated fibroblast,Cycling,Endothelial,Epithelial-like - uncertain,Fibroblast,Macrophage,Neuroendocrine-like,Prostate epithelial - AR high,Prostate epithelial - luminal,Steroidogenic-like,Stress/hypoxia-like,T/NK lymphocyte
GSM8848584,0.0,0.0,5.63,0.0,8.35,4.09,14.68,32.22,0.0,32.74,0.0,2.29
GSM8848585,0.31,15.73,1.04,3.89,8.4,1.5,43.47,0.05,22.65,0.0,1.94,1.01
GSM8848586,56.09,3.34,2.7,0.0,0.32,21.57,4.64,1.29,4.21,0.0,0.11,5.72
